AÑO,MES,CATEGORIA_ALOJAMIENTO,CCAA,PROVINCIA,PERIODO_ANTELACION,PRECIO_CHECK-IN_ENTRE_SEMANA,PRECIO_CHECK-IN_FIN_SEMANA,CLASE_PRECIO,CCAA_CODE,PROVINCIA_CODE,CATEGORIA_ALOJAMIENTO_CODE,PERIODO_ANTELACION_CODE
2019,1,Hotel 3 Estrellas,Andalucía,Almería,1 Mes,47.0,47.0,0,0,3,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Cádiz,1 Mes,53.0,54.0,0,0,15,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Córdoba,1 Mes,43.0,60.0,0,0,16,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Granada,1 Mes,55.0,73.0,0,0,19,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Huelva,1 Mes,44.0,46.0,0,0,21,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Jaén,1 Mes,61.0,61.0,0,0,24,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Málaga,1 Mes,57.0,64.0,0,0,32,0,0
2019,1,Hotel 3 Estrellas,Andalucía,Sevilla,1 Mes,58.0,76.0,0,0,40,0,0
2019,1,Hotel 3 Estrellas,Aragón,Zaragoza,1 Mes,48.0,51.0,0,1,48,0,0
2019,1,Hotel 3 Estrellas,Canarias,Las Palmas,1 Mes,94.0,97.0,1,2,26,0,0
2019,1,Hotel 3 Estrellas,Canarias,Santa Cruz de Tenerife,1 Mes,100.0,100.0,1,2,38,0,0
2019,1,Hotel 3 Estrellas,Cantabria,Cantabria,1 Mes,83.0,73.0,0,3,10,0,0
2019,1,Hotel 3 Estrellas,Castilla - La Mancha,Toledo,1 Mes,44.0,68.0,0,4,44,0,0
2019,1,Hotel 3 Estrellas,Castilla y León,Valladolid,1 Mes,59.0,63.0,0,5,46,0,0
2019,1,Hotel 3 Estrellas,Cataluña,Barcelona,1 Mes,67.0,78.0,0,6,7,0,0
2019,1,Hotel 3 Estrellas,Cataluña,Girona,1 Mes,83.0,92.0,0,6,18,0,0
2019,1,Hotel 3 Estrellas,Cataluña,Lleida,1 Mes,51.0,58.0,0,6,28,0,0
2019,1,Hotel 3 Estrellas,Cataluña,Tarragona,1 Mes,60.0,65.0,0,6,42,0,0
2019,1,Hotel 3 Estrellas,Comunidad Foral de Navarra,Navarra,1 Mes,61.0,65.0,0,7,33,0,0
2019,1,Hotel 3 Estrellas,Comunidad de Madrid,Madrid,1 Mes,85.0,101.0,0,8,30,0,0
2019,1,Hotel 3 Estrellas,Comunitat Valenciana,Alicante/Alacant,1 Mes,55.0,57.0,0,9,2,0,0
2019,1,Hotel 3 Estrellas,Comunitat Valenciana,Castellón/Castelló,1 Mes,47.0,52.0,0,9,11,0,0
2019,1,Hotel 3 Estrellas,Comunitat Valenciana,Valencia/València,1 Mes,56.0,66.0,0,9,45,0,0
2019,1,Hotel 3 Estrellas,Galicia,A Coruña,1 Mes,46.0,49.0,0,11,0,0,0
2019,1,Hotel 3 Estrellas,Galicia,Lugo,1 Mes,43.0,44.0,0,11,29,0,0
2019,1,Hotel 3 Estrellas,Galicia,Pontevedra,1 Mes,49.0,51.0,0,11,36,0,0
2019,1,Hotel 3 Estrellas,Illes Balears,Illes Balears,1 Mes,106.0,107.0,1,12,23,0,0
2019,1,Hotel 3 Estrellas,La Rioja,La Rioja,1 Mes,59.0,71.0,0,13,25,0,0
2019,1,Hotel 3 Estrellas,País Vasco,Araba/Álava,1 Mes,67.0,66.0,0,14,4,0,0
2019,1,Hotel 3 Estrellas,País Vasco,Bizkaia,1 Mes,67.0,80.0,0,14,8,0,0
2019,1,Hotel 3 Estrellas,País Vasco,Gipuzkoa,1 Mes,69.0,76.0,0,14,17,0,0
2019,1,Hotel 3 Estrellas,Principado de Asturias,Asturias,1 Mes,55.0,56.0,0,15,5,0,0
2019,1,Hotel 3 Estrellas,Región de Murcia,Murcia,1 Mes,51.0,54.0,0,16,31,0,0
2019,1,Hotel 4 Estrellas,Andalucía,Almería,1 Mes,53.0,54.0,0,0,3,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Cádiz,1 Mes,58.0,59.0,0,0,15,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Córdoba,1 Mes,65.0,80.0,0,0,16,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Granada,1 Mes,84.0,92.0,0,0,19,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Huelva,1 Mes,58.0,57.0,0,0,21,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Jaén,1 Mes,70.0,69.0,0,0,24,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Málaga,1 Mes,93.0,97.0,1,0,32,1,0
2019,1,Hotel 4 Estrellas,Andalucía,Sevilla,1 Mes,82.0,99.0,0,0,40,1,0
2019,1,Hotel 4 Estrellas,Aragón,Zaragoza,1 Mes,68.0,66.0,0,1,48,1,0
2019,1,Hotel 4 Estrellas,Canarias,Las Palmas,1 Mes,137.0,140.0,1,2,26,1,0
2019,1,Hotel 4 Estrellas,Canarias,Santa Cruz de Tenerife,1 Mes,130.0,132.0,1,2,38,1,0
2019,1,Hotel 4 Estrellas,Cantabria,Cantabria,1 Mes,72.0,73.0,0,3,10,1,0
2019,1,Hotel 4 Estrellas,Castilla - La Mancha,Toledo,1 Mes,63.0,90.0,0,4,44,1,0
2019,1,Hotel 4 Estrellas,Castilla y León,Valladolid,1 Mes,66.0,72.0,0,5,46,1,0
2019,1,Hotel 4 Estrellas,Cataluña,Barcelona,1 Mes,89.0,93.0,0,6,7,1,0
2019,1,Hotel 4 Estrellas,Cataluña,Girona,1 Mes,90.0,111.0,1,6,18,1,0
2019,1,Hotel 4 Estrellas,Cataluña,Lleida,1 Mes,60.0,54.0,0,6,28,1,0
2019,1,Hotel 4 Estrellas,Cataluña,Tarragona,1 Mes,70.0,73.0,0,6,42,1,0
